body,fuel,model_date,doors,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,generation,restyling,age,price,brand,features_count
11,0,2007,5,2,1.8,125,26500,1,1,1,2,2,1.0,10.0,650000,4,51
15,0,2010,5,0,1.6,126,88500,1,1,1,1,1,1.0,10.0,469000,6,18
11,5,2016,4,0,2.0,190,84500,2,1,1,1,7,0.0,3.0,2080000,0,45
11,0,2010,5,0,1.6,105,141500,1,1,1,2,6,0.0,5.0,570000,18,0
6,0,2013,5,3,1.4,150,38500,1,1,1,1,3,0.0,4.0,1049000,16,50
0,0,2015,5,0,3.5,300,78000,2,1,1,1,4,0.0,5.0,3190000,9,68
0,0,2016,5,0,1.6,121,65000,2,1,1,2,1,0.0,2.0,940000,6,60
11,0,2012,5,0,1.6,150,78417,1,1,1,1,1,0.0,7.0,510000,14,0
8,0,2007,8,0,2.4,173,209000,0,1,1,3,2,0.0,10.0,870000,6,0
11,5,2015,4,0,3.0,265,40000,2,1,1,1,6,0.0,4.0,4750000,0,8
0,0,2011,5,0,2.0,150,216400,2,1,1,2,3,1.0,9.0,750000,17,49
2,0,2010,5,2,1.6,150,150000,1,1,1,3,2,0.0,10.0,610000,4,0
0,0,2012,5,2,2.4,175,71000,2,1,1,1,2,1.0,5.0,1300000,7,0
0,5,2018,5,0,2.0,190,150,2,1,1,1,2,0.0,1.0,3482997,0,73
15,0,2011,5,0,1.6,130,120000,1,1,1,3,2,0.0,7.0,650000,6,67
0,5,2012,5,0,3.0,248,42000,2,1,1,1,4,0.0,4.0,4500000,8,93
0,5,2014,5,0,2.0,190,60000,2,1,1,1,2,1.0,3.0,2300000,0,85
0,0,2010,5,2,1.6,114,118300,1,1,1,1,1,1.0,8.0,550000,13,0
11,0,2011,5,0,2.0,150,180000,1,1,1,2,1,0.0,7.0,670000,6,55
11,0,2012,4,3,1.8,152,209000,1,1,1,2,1,1.0,8.0,698000,18,41
0,0,2011,5,0,3.5,306,78000,2,1,1,2,3,0.0,8.0,1650000,11,56
11,1,2009,5,0,2.4,178,90000,1,1,1,1,6,0.0,8.0,860000,6,0
0,0,2015,5,0,2.0,143,33058,2,1,1,1,1,1.0,2.0,909000,15,29
11,0,2011,4,0,4.4,450,58800,2,1,1,2,3,0.0,8.0,2130000,0,43
0,0,2012,5,0,5.5,388,35461,2,1,1,2,2,1.0,5.0,4850000,11,34
11,0,2014,5,2,1.6,90,290000,1,1,1,3,5,1.0,4.0,330000,18,0
0,0,2010,5,1,2.5,169,117000,2,1,1,1,2,1.0,7.0,795000,13,0
6,0,2017,5,2,1.6,90,77899,1,1,1,1,1,1.0,2.0,631000,16,32
11,0,2012,5,0,2.5,184,100000,1,1,1,3,6,0.0,6.0,1430000,9,0
11,0,2006,5,2,1.6,107,168000,1,1,1,3,1,0.0,9.0,260000,13,9
0,0,2011,5,0,3.0,178,170000,2,1,1,2,4,1.0,8.0,1050000,12,11
11,0,2010,5,2,2.0,145,194950,1,1,1,2,4,1.0,9.0,460000,4,32
12,0,2011,5,3,1.6,105,147000,1,1,1,3,3,0.0,8.0,450000,4,0
11,0,2010,5,0,2.0,150,170000,1,1,1,3,3,0.0,7.0,830000,7,0
0,0,2012,5,0,3.0,340,112737,2,1,1,1,4,0.0,6.0,2579000,8,49
11,0,2009,5,2,1.6,105,130000,1,1,1,3,5,0.0,9.0,350000,18,0
11,0,2017,5,0,1.6,123,90722,1,1,1,1,2,0.0,3.0,705000,6,27
11,0,2018,5,0,2.0,245,21200,1,1,1,2,4,1.0,2.0,1725000,7,73
11,5,2019,4,0,3.0,320,250,2,1,1,1,6,1.0,1.0,6589999,0,44
0,0,2009,5,0,2.4,182,213000,2,1,1,1,2,0.0,10.0,849849,1,35
15,0,2014,5,0,1.6,123,137000,1,1,1,3,1,1.0,6.0,420000,6,0
9,5,2018,5,0,2.4,181,11000,2,1,1,1,5,1.0,1.0,2300000,12,0
0,5,2014,5,0,2.0,190,170000,2,1,1,1,1,0.0,4.0,1635000,0,36
15,0,2010,5,0,1.6,123,109000,1,1,1,3,1,0.0,9.0,440000,6,43
15,0,2009,5,2,1.4,75,78000,1,1,1,2,1,0.0,10.0,305000,15,12
0,5,2010,5,2,2.2,150,102000,2,1,1,1,2,1.0,8.0,799000,8,42
0,0,2016,5,0,2.0,149,28395,2,1,1,1,1,0.0,3.0,1200000,6,60
15,0,2007,5,0,1.6,115,168000,0,1,1,3,1,1.0,10.0,450000,0,23
0,0,2012,5,0,1.6,150,90090,2,1,1,1,2,0.0,5.0,910000,4,49
3,0,2007,2,3,4.0,420,29919,0,1,1,3,4,0.0,8.0,2750000,0,0
11,0,2014,5,2,1.6,110,12000,1,1,1,1,5,1.0,2.0,680000,18,0
11,5,2010,4,0,3.0,258,121000,2,1,1,2,6,0.0,7.0,1300000,0,26
0,0,2009,5,0,2.4,175,125000,2,1,1,2,2,0.0,9.0,950000,7,13
0,5,2011,5,0,3.0,249,170000,2,1,1,2,3,0.0,6.0,1900000,11,63
11,0,2011,5,2,1.6,115,128000,1,1,1,3,2,0.0,7.0,320000,1,0
11,0,2010,5,3,2.0,240,145000,1,1,1,3,4,1.0,9.0,450000,4,0
11,0,2014,5,0,1.6,156,47596,0,1,1,1,4,0.0,6.0,1590000,11,44
0,0,2009,5,0,2.4,174,103000,1,1,1,3,2,1.0,8.0,780000,6,0
15,0,2011,5,3,1.6,105,164000,1,1,1,3,3,0.0,5.0,480000,4,33
0,0,2010,5,1,2.5,169,175000,2,1,1,2,2,1.0,9.0,710000,13,0
11,5,2010,4,0,2.0,218,105000,2,1,1,1,6,0.0,8.0,1090000,0,0
0,0,2006,5,0,5.3,324,202219,2,1,1,3,3,0.0,9.0,1050000,1,0
11,0,2017,4,0,4.0,469,28825,2,1,1,1,1,1.0,1.0,11400000,11,42
11,0,2009,5,2,1.6,84,98000,1,1,1,3,1,1.0,8.0,320000,15,20
6,0,2008,5,3,1.4,122,93000,1,1,1,2,2,1.0,8.0,500000,16,24
11,0,2010,5,0,1.6,105,119500,1,1,1,1,6,0.0,8.0,600000,18,0
11,0,2012,5,2,1.6,82,188000,1,1,1,2,2,0.0,6.0,305000,15,23
0,0,2016,5,1,1.6,114,112000,1,1,1,1,1,0.0,4.0,749000,15,0
0,0,2016,5,0,2.0,149,42000,2,1,1,2,1,0.0,4.0,1100000,6,61
15,0,2010,5,0,1.6,110,65000,1,1,1,2,1,1.0,9.0,499000,13,42
0,0,2010,5,0,2.0,150,156000,1,1,1,1,3,0.0,8.0,840000,7,0
11,1,2009,5,2,1.4,75,180000,1,1,1,2,1,1.0,5.0,250000,15,24
11,0,2011,5,1,2.5,167,133500,2,1,1,3,2,1.0,8.0,620000,13,0
12,0,2011,5,2,1.6,105,242500,1,1,1,3,3,0.0,6.0,360000,4,18
11,0,2012,5,2,1.6,82,170000,1,1,1,1,2,0.0,5.0,400000,15,0
0,0,2007,5,0,5.7,367,210000,2,1,1,2,3,0.0,9.0,2750000,9,33
11,0,2012,5,2,1.6,102,175000,1,1,1,3,3,0.0,7.0,390000,13,0
11,0,2009,5,0,2.0,143,149650,1,1,1,2,1,1.0,9.0,389000,1,0
11,0,2014,5,0,1.6,110,36400,1,1,1,3,5,1.0,3.0,660000,18,37
0,0,2014,5,1,1.6,117,58428,1,1,1,2,1,1.0,6.0,799000,13,32
11,0,2009,5,2,1.6,109,116000,1,1,1,3,1,0.0,8.0,400000,1,23
0,5,2012,5,0,2.2,197,159000,2,1,1,3,3,0.0,7.0,1299000,6,53
11,0,2014,5,0,2.5,149,9564,1,1,1,1,5,0.0,1.0,1575000,4,14
0,0,2009,5,2,1.6,156,62863,1,1,1,1,1,0.0,8.0,639000,14,15
12,1,2008,5,2,1.6,102,185000,1,1,1,1,2,1.0,8.0,550000,16,35
3,0,2008,2,0,2.5,218,117400,0,1,1,3,5,1.0,10.0,950000,0,34
12,0,2011,5,3,1.6,125,136000,1,1,1,3,3,0.0,7.0,450000,4,14
11,0,2009,5,0,3.5,277,160000,1,1,1,2,5,1.0,10.0,700000,9,0
11,0,2011,5,2,1.4,107,26000,1,1,1,1,3,0.0,5.0,620000,7,31
0,0,2019,5,0,2.0,192,573,2,1,1,1,2,1.0,0.0,2429997,0,29
0,5,2012,5,0,2.2,197,110500,2,1,1,1,3,0.0,6.0,1350000,6,0
11,0,2008,4,0,4.4,407,140000,2,1,1,3,5,0.0,10.0,900000,0,59
0,5,2008,5,0,3.0,245,159050,2,1,1,1,1,0.0,10.0,1250000,0,0
0,5,2012,5,0,2.0,184,113140,2,1,1,2,1,1.0,7.0,829000,0,20
11,5,2015,4,0,2.0,190,71000,2,1,1,1,6,1.0,4.0,1490000,0,48
0,0,2010,5,0,2.0,150,113096,2,1,1,3,3,0.0,9.0,700000,7,35
12,0,2015,5,0,1.6,130,64500,1,1,1,1,2,1.0,2.0,890000,7,38
0,0,2012,5,0,2.0,184,125205,2,1,1,1,1,1.0,6.0,950000,0,23
11,0,2015,5,0,2.0,245,105000,1,1,1,2,4,0.0,4.0,1200000,7,62
15,0,2008,5,3,1.6,102,144800,1,1,1,2,6,0.0,9.0,600000,18,30
0,0,2016,5,2,1.6,114,1050,1,1,1,1,1,0.0,1.0,950000,15,43
11,0,2011,5,0,2.4,167,100000,1,1,1,3,8,0.0,8.0,750000,1,0
15,0,2008,5,3,1.4,122,166000,1,1,1,2,6,0.0,9.0,695000,18,34
6,0,2008,5,3,1.8,152,123000,1,1,1,2,2,1.0,9.0,495000,16,0
0,0,2010,5,0,2.0,150,141000,2,1,1,3,3,0.0,7.0,949000,7,60
11,1,2011,5,3,1.6,125,186000,1,1,1,3,3,0.0,6.0,500000,4,0
1,0,2013,2,0,2.0,245,29000,2,1,1,1,0,0.0,5.0,2090000,0,50
0,0,2012,5,2,2.0,150,81000,2,1,1,1,4,0.0,6.0,1300000,17,42
0,5,2016,5,0,2.0,185,190000,2,1,1,1,4,0.0,4.0,1220000,7,22
0,0,2015,5,0,2.0,150,72000,1,1,1,1,3,0.0,4.0,1350000,6,59
15,0,2010,5,2,1.6,126,135510,1,1,1,3,1,1.0,9.0,380000,6,29
15,0,2005,5,0,1.4,97,100067,1,1,1,2,1,1.0,10.0,345000,6,0
11,0,2013,4,0,2.0,184,102760,0,1,1,2,6,1.0,6.0,1339000,0,49
15,0,2016,5,3,1.6,204,110000,1,1,1,2,2,1.0,3.0,950000,7,38
11,0,2009,5,0,1.6,109,150400,1,1,1,3,1,0.0,9.0,390000,1,38
0,0,2014,5,0,4.4,575,52961,2,1,1,2,2,0.0,3.0,3990000,0,68
2,0,2012,5,2,1.6,120,110000,1,1,1,2,2,1.0,6.0,415000,14,21
15,0,2012,5,3,1.6,122,39000,1,1,1,2,3,0.0,6.0,1050000,11,0
